machine,variant,measurement,median,min
04gen_i7_4790K_pc,-,sysbench,1292.46,1292.46
04gen_i7_4790K_pc,ept,timing_overhead,0.9,0.8
04gen_i7_4790K_pc,ept,exec_bp_only,59.7,46.8
04gen_i7_4790K_pc,ept,exec_page,60.0,46.9
04gen_i7_4790K_pc,ept,read_byte,60.7,47.7
04gen_i7_4790K_pc,ept,read_page,65942.29999999999,64186.3
04gen_i7_4790K_pc,ept-fast,timing_overhead,0.9,0.8
04gen_i7_4790K_pc,ept-fast,exec_bp_only,36.7,26.0
04gen_i7_4790K_pc,ept-fast,exec_page,37.0,26.3
04gen_i7_4790K_pc,ept-fast,read_byte,58.1,47.9
04gen_i7_4790K_pc,ept-fast,read_page,62548.600000000006,61494.3
04gen_i7_4790K_pc,repair,timing_overhead,75.5,68.4
04gen_i7_4790K_pc,repair,exec_bp_only,75.2,67.8
04gen_i7_4790K_pc,repair,exec_page,75.6,68.5
04gen_i7_4790K_pc,repair,read_byte,103.1,90.8
04gen_i7_4790K_pc,repair,read_page,24548.7,22510.2
04gen_i7_4790K_pc,emul,timing_overhead,76.0,68.3
04gen_i7_4790K_pc,emul,exec_bp_only,76.4,68.1
04gen_i7_4790K_pc,emul,exec_page,81.9,70.1
04gen_i7_4790K_pc,emul,read_byte,107.5,91.6
04gen_i7_4790K_pc,emul,read_page,24760.199999999997,23002.0
06gen_i3_6100_esprimo,-,sysbench,1294.5,1294.5
06gen_i3_6100_esprimo,ept,timing_overhead,2.8,2.7
06gen_i3_6100_esprimo,ept,exec_bp_only,168.8,157.8
06gen_i3_6100_esprimo,ept,exec_page,168.8,158.1
06gen_i3_6100_esprimo,ept,read_byte,171.1,160.3
06gen_i3_6100_esprimo,ept,read_page,187268.7,184496.5
06gen_i3_6100_esprimo,ept-fast,timing_overhead,2.8,2.7
06gen_i3_6100_esprimo,ept-fast,exec_bp_only,97.3,90.6
06gen_i3_6100_esprimo,ept-fast,exec_page,97.4,91.4
06gen_i3_6100_esprimo,ept-fast,read_byte,170.6,159.9
06gen_i3_6100_esprimo,ept-fast,read_page,186422.25,183908.9
06gen_i3_6100_esprimo,repair,timing_overhead,213.7,209.8
06gen_i3_6100_esprimo,repair,exec_bp_only,213.9,207.7
06gen_i3_6100_esprimo,repair,exec_page,214.1,207.9
06gen_i3_6100_esprimo,repair,read_byte,288.7,279.6
06gen_i3_6100_esprimo,repair,read_page,87351.75,83592.4
06gen_i3_6100_esprimo,emul,timing_overhead,212.3,205.4
06gen_i3_6100_esprimo,emul,exec_bp_only,212.4,205.3
06gen_i3_6100_esprimo,emul,exec_page,212.7,206.6
06gen_i3_6100_esprimo,emul,read_byte,286.6,277.8
06gen_i3_6100_esprimo,emul,read_page,85780.05,83003.9
07gen_i5_7300U_NUC,-,sysbench,908.56,908.56
07gen_i5_7300U_NUC,ept,timing_overhead,2.6,2.5
07gen_i5_7300U_NUC,ept,exec_bp_only,204.8,189.1
07gen_i5_7300U_NUC,ept,exec_page,204.7,189.5
07gen_i5_7300U_NUC,ept,read_byte,205.7,189.6
07gen_i5_7300U_NUC,ept,read_page,210844.34999999998,206708.3
07gen_i5_7300U_NUC,ept-fast,timing_overhead,2.6,2.5
07gen_i5_7300U_NUC,ept-fast,exec_bp_only,114.6,107.9
07gen_i5_7300U_NUC,ept-fast,exec_page,114.9,108.6
07gen_i5_7300U_NUC,ept-fast,read_byte,204.4,190.9
07gen_i5_7300U_NUC,ept-fast,read_page,232239.75,227966.1
08gen_i5_8350U_T480,ept,timing_overhead,1.9,1.8
08gen_i5_8350U_T480,ept,exec_bp_only,153.0,142.8
08gen_i5_8350U_T480,ept,exec_page,153.1,142.4
08gen_i5_8350U_T480,ept,read_byte,154.2,143.9
08gen_i5_8350U_T480,ept,read_page,168658.55,166500.4
08gen_i5_8350U_T480,ept-fast,timing_overhead,1.9,1.8
08gen_i5_8350U_T480,ept-fast,exec_bp_only,89.2,83.6
08gen_i5_8350U_T480,ept-fast,exec_page,89.5,84.1
08gen_i5_8350U_T480,ept-fast,read_byte,154.1,144.2
08gen_i5_8350U_T480,ept-fast,read_page,168626.90000000002,165608.0
08gen_i5_8350U_T480,repair,timing_overhead,187.4,184.5
08gen_i5_8350U_T480,repair,exec_bp_only,187.6,184.7
08gen_i5_8350U_T480,repair,exec_page,187.8,185.1
08gen_i5_8350U_T480,repair,read_byte,254.5,248.8
08gen_i5_8350U_T480,repair,read_page,76936.35,74027.4
08gen_i5_8350U_T480,emul,timing_overhead,186.0,183.1
08gen_i5_8350U_T480,emul,exec_bp_only,186.1,182.8
08gen_i5_8350U_T480,emul,exec_page,186.5,182.9
08gen_i5_8350U_T480,emul,read_byte,253.3,248.1
08gen_i5_8350U_T480,emul,read_page,77377.45,73967.5
08gen_i7_8565U_yoga,-,sysbench,1554.17,1554.17
08gen_i7_8565U_yoga,ept,timing_overhead,0.9,0.8
08gen_i7_8565U_yoga,ept,exec_bp_only,70.7,57.8
08gen_i7_8565U_yoga,ept,exec_page,70.8,57.9
08gen_i7_8565U_yoga,ept,read_byte,75.0,58.7
08gen_i7_8565U_yoga,ept,read_page,67825.9,65823.9
08gen_i7_8565U_yoga,ept-fast,timing_overhead,0.9,0.8
08gen_i7_8565U_yoga,ept-fast,exec_bp_only,44.2,33.4
08gen_i7_8565U_yoga,ept-fast,exec_page,44.4,34.8
08gen_i7_8565U_yoga,ept-fast,read_byte,72.5,58.8
08gen_i7_8565U_yoga,ept-fast,read_page,71610.95000000001,67111.5
08gen_i7_8565U_yoga,repair,timing_overhead,0.9,0.8
08gen_i7_8565U_yoga,repair,exec_bp_only,103.4,93.1
08gen_i7_8565U_yoga,repair,exec_page,103.6,93.7
08gen_i7_8565U_yoga,repair,read_byte,26.1,17.5
08gen_i7_8565U_yoga,repair,read_page,25619.85,24345.6
08gen_i7_8565U_yoga,emul,timing_overhead,0.9,0.8
08gen_i7_8565U_yoga,emul,exec_bp_only,26.6,17.5
08gen_i7_8565U_yoga,emul,exec_page,26.8,17.1
08gen_i7_8565U_yoga,emul,read_byte,26.8,17.7
08gen_i7_8565U_yoga,emul,read_page,25633.199999999997,24320.2
08gen_i7_8665U_X390,-,sysbench,1644.53,1644.53
08gen_i7_8665U_X390,ept,timing_overhead,0.8,0.7
08gen_i7_8665U_X390,ept,exec_bp_only,52.0,46.0
08gen_i7_8665U_X390,ept,exec_page,52.3,45.8
08gen_i7_8665U_X390,ept,read_byte,52.7,46.0
08gen_i7_8665U_X390,ept,read_page,60200.55,54722.6
08gen_i7_8665U_X390,ept-fast,timing_overhead,0.8,0.7
08gen_i7_8665U_X390,ept-fast,exec_bp_only,33.1,25.7
08gen_i7_8665U_X390,ept-fast,exec_page,33.9,25.6
08gen_i7_8665U_X390,ept-fast,read_byte,53.3,46.5
08gen_i7_8665U_X390,ept-fast,read_page,60524.05,55256.7
08gen_i7_8665U_X390,repair,timing_overhead,0.8,0.7
08gen_i7_8665U_X390,repair,exec_bp_only,75.4,68.2
08gen_i7_8665U_X390,repair,exec_page,75.9,68.3
08gen_i7_8665U_X390,repair,read_byte,18.3,12.2
08gen_i7_8665U_X390,repair,read_page,17567.55,17183.7
08gen_i7_8665U_X390,emul,timing_overhead,0.8,0.7
08gen_i7_8665U_X390,emul,exec_bp_only,17.1,11.3
08gen_i7_8665U_X390,emul,exec_page,17.2,11.9
08gen_i7_8665U_X390,emul,read_byte,18.3,12.1
08gen_i7_8665U_X390,emul,read_page,17415.85,17061.6
09gen_i7_9750H_omen,-,sysbench,1356.64,1356.64
09gen_i7_9750H_omen,ept,timing_overhead,1.1,1.0
09gen_i7_9750H_omen,ept,exec_bp_only,58.3,52.2
09gen_i7_9750H_omen,ept,exec_page,58.6,52.7
09gen_i7_9750H_omen,ept,read_byte,58.9,54.1
09gen_i7_9750H_omen,ept,read_page,61155.5,59955.0
09gen_i7_9750H_omen,ept-fast,timing_overhead,1.1,1.0
09gen_i7_9750H_omen,ept-fast,exec_bp_only,37.2,32.6
09gen_i7_9750H_omen,ept-fast,exec_page,37.4,28.8
09gen_i7_9750H_omen,ept-fast,read_byte,59.0,54.3
09gen_i7_9750H_omen,ept-fast,read_page,61380.399999999994,59887.3
09gen_i7_9750H_omen,repair,timing_overhead,66.8,57.6
09gen_i7_9750H_omen,repair,exec_bp_only,66.8,57.6
09gen_i7_9750H_omen,repair,exec_page,66.8,57.6
09gen_i7_9750H_omen,repair,read_byte,89.4,76.7
09gen_i7_9750H_omen,repair,read_page,21568.3,20828.1
09gen_i7_9750H_omen,emul,timing_overhead,68.0,58.9
09gen_i7_9750H_omen,emul,exec_bp_only,67.8,59.2
09gen_i7_9750H_omen,emul,exec_page,67.8,59.1
09gen_i7_9750H_omen,emul,read_byte,90.3,78.2
09gen_i7_9750H_omen,emul,read_page,21809.7,21032.9
09gen_i7_9850H_P1,-,sysbench,1529.44,1529.44
09gen_i7_9850H_P1,ept,timing_overhead,0.8,0.7
09gen_i7_9850H_P1,ept,exec_bp_only,58.0,49.0
09gen_i7_9850H_P1,ept,exec_page,58.4,50.2
