machine,metric,median,min
04gen_i7_4790K_pc,sysbench,1292.46,1292.46
04gen_i7_4790K_pc,ept_exec,59.7,46.8
04gen_i7_4790K_pc,ept-fast_exec,36.7,26.0
04gen_i7_4790K_pc,ept_read,60.7,47.7
06gen_i3_6100_esprimo,sysbench,1294.5,1294.5
06gen_i3_6100_esprimo,ept_exec,168.8,157.8
06gen_i3_6100_esprimo,ept-fast_exec,97.3,90.6
06gen_i3_6100_esprimo,ept_read,171.1,160.3
07gen_i5_7300U_NUC,sysbench,908.56,908.56
07gen_i5_7300U_NUC,ept_exec,204.8,189.1
07gen_i5_7300U_NUC,ept-fast_exec,114.6,107.9
07gen_i5_7300U_NUC,ept_read,205.7,189.6
08gen_i7_8565U_yoga,sysbench,1554.17,1554.17
08gen_i7_8565U_yoga,timing-overhead,0.9,0.8
08gen_i7_8565U_yoga,ept_exec,70.7,57.8
08gen_i7_8565U_yoga,ept-fast_exec,44.2,33.4
08gen_i7_8565U_yoga,ept_read,75.0,58.7
08gen_i7_8565U_yoga,repair_exec,103.4,93.1
08gen_i7_8565U_yoga,emul_exec,26.6,17.5
08gen_i7_8565U_yoga,emul_read,26.8,17.7
08gen_i7_8665U_X390,sysbench,1644.53,1644.53
08gen_i7_8665U_X390,timing-overhead,0.8,0.7
08gen_i7_8665U_X390,ept_exec,52.0,46.0
08gen_i7_8665U_X390,ept-fast_exec,33.1,25.7
08gen_i7_8665U_X390,ept_read,52.7,46.0
08gen_i7_8665U_X390,repair_exec,75.4,68.2
08gen_i7_8665U_X390,emul_exec,17.1,11.3
08gen_i7_8665U_X390,emul_read,18.3,12.1
09gen_i7_9750H_omen,sysbench,1356.64,1356.64
09gen_i7_9750H_omen,ept_exec,58.3,52.2
09gen_i7_9750H_omen,ept-fast_exec,37.2,32.6
09gen_i7_9750H_omen,ept_read,58.9,54.1
09gen_i7_9850H_P1,sysbench,1529.44,1529.44
09gen_i7_9850H_P1,timing-overhead,0.8,0.7
09gen_i7_9850H_P1,ept_exec,58.0,49.0
09gen_i7_9850H_P1,ept-fast_exec,37.0,25.8
09gen_i7_9850H_P1,ept_read,58.9,50.3
09gen_i7_9850H_P1,repair_exec,82.7,68.8
09gen_i7_9850H_P1,emul_exec,20.1,11.7
09gen_i7_9850H_P1,emul_read,21.7,12.4
09gen_i9_9900K_pc,sysbench,1270.4,1270.4
09gen_i9_9900K_pc,timing-overhead,1.0,0.9
09gen_i9_9900K_pc,ept_exec,64.7,54.9
09gen_i9_9900K_pc,ept-fast_exec,39.5,31.5
09gen_i9_9900K_pc,ept_read,65.9,55.1
09gen_i9_9900K_pc,repair_exec,88.4,79.9
09gen_i9_9900K_pc,emul_exec,20.5,13.3
09gen_i9_9900K_pc,emul_read,22.1,14.5
10gen_i5_10310U_T14,sysbench,1467.4,1467.4
10gen_i5_10310U_T14,ept_exec,55.6,48.6
10gen_i5_10310U_T14,ept-fast_exec,35.7,28.3
10gen_i5_10310U_T14,ept_read,56.2,49.9
11gen_i7_1165G7_XP14,sysbench,2389.13,2389.13
11gen_i7_1165G7_XP14,timing-overhead,1.6,1.4
11gen_i7_1165G7_XP14,ept_exec,84.2,69.9
11gen_i7_1165G7_XP14,ept-fast_exec,49.7,39.2
11gen_i7_1165G7_XP14,ept_read,84.9,70.5
11gen_i7_1165G7_XP14,repair_exec,117.3,107.7
11gen_i7_1165G7_XP14,emul_exec,30.9,20.7
11gen_i7_1165G7_XP14,emul_read,31.9,21.6
11gen_i7_11800H_katana,sysbench,1961.76,1961.76
11gen_i7_11800H_katana,timing-overhead,1.9,1.7
11gen_i7_11800H_katana,ept_exec,145.1,133.3
11gen_i7_11800H_katana,ept-fast_exec,84.2,78.1
11gen_i7_11800H_katana,ept_read,146.2,134.1
11gen_i7_11800H_katana,repair_exec,192.2,185.9
11gen_i7_11800H_katana,emul_exec,62.9,59.5
11gen_i7_11800H_katana,emul_read,65.3,61.9
12gen_i7_1260P_T14,sysbench,3941.16,3941.16
12gen_i7_1260P_T14,timing-overhead,0.8,0.6
12gen_i7_1260P_T14,ept_exec,58.0,42.6
12gen_i7_1260P_T14,ept-fast_exec,35.5,28.4
12gen_i7_1260P_T14,ept_read,50.3,42.3
12gen_i7_1260P_T14,repair_exec,71.0,64.3
12gen_i7_1260P_T14,emul_exec,22.6,17.2
12gen_i7_1260P_T14,emul_read,23.7,18.2
12gen_i7_1265U_L14,sysbench,1265.3,1265.3
12gen_i7_1265U_L14,timing-overhead,4.2,4.0
12gen_i7_1265U_L14,ept_exec,143.5,129.5
12gen_i7_1265U_L14,ept-fast_exec,83.9,79.1
12gen_i7_1265U_L14,ept_read,147.7,133.1
12gen_i7_1265U_L14,repair_exec,181.9,161.1
12gen_i7_1265U_L14,emul_exec,57.5,49.9
12gen_i7_1265U_L14,emul_read,59.4,50.3
12gen_i7_12700H_ideapad,sysbench,3877.77,3877.77
12gen_i7_12700H_ideapad,timing-overhead,0.7,0.6
12gen_i7_12700H_ideapad,ept_exec,42.9,37.0
12gen_i7_12700H_ideapad,ept-fast_exec,25.8,20.7
12gen_i7_12700H_ideapad,ept_read,41.2,37.5
12gen_i7_12700H_ideapad,repair_exec,62.4,57.7
12gen_i7_12700H_ideapad,emul_exec,15.4,10.8
12gen_i7_12700H_ideapad,emul_read,15.8,11.5
12gen_i7_12700T_P360tiny,sysbench,3867.4,3867.4
12gen_i7_12700T_P360tiny,timing-overhead,0.7,0.6
12gen_i7_12700T_P360tiny,ept_exec,50.9,47.6
12gen_i7_12700T_P360tiny,ept-fast_exec,31.0,29.0
12gen_i7_12700T_P360tiny,ept_read,52.1,47.8
12gen_i7_12700T_P360tiny,repair_exec,66.7,66.0
12gen_i7_12700T_P360tiny,emul_exec,22.4,20.6
12gen_i7_12700T_P360tiny,emul_read,23.9,21.5
13gen_i7_13620H_infinity,sysbench,3602.98,3602.98
13gen_i7_13620H_infinity,timing-overhead,0.7,0.6
13gen_i7_13620H_infinity,ept_exec,56.2,46.1
13gen_i7_13620H_infinity,ept-fast_exec,33.0,29.4
13gen_i7_13620H_infinity,ept_read,55.8,46.7
13gen_i7_13620H_infinity,repair_exec,91.8,82.8
13gen_i7_13620H_infinity,emul_exec,23.7,17.5
13gen_i7_13620H_infinity,emul_read,24.5,20.2
13gen_i7_13700K_pc,sysbench,2921.45,2921.45
13gen_i7_13700K_pc,timing-overhead,1.0,0.9
13gen_i7_13700K_pc,ept_exec,65.9,55.4
13gen_i7_13700K_pc,ept-fast_exec,38.4,33.3
13gen_i7_13700K_pc,ept_read,66.6,56.5
13gen_i7_13700K_pc,repair_exec,85.0,77.2
13gen_i7_13700K_pc,emul_exec,24.7,15.8
13gen_i7_13700K_pc,emul_read,26.1,19.1
13gen_i9_13900HX_gemini,sysbench,4352.94,4352.94
13gen_i9_13900HX_gemini,timing-overhead,0.6,0.5
13gen_i9_13900HX_gemini,ept_exec,45.4,36.1
13gen_i9_13900HX_gemini,ept-fast_exec,26.3,20.4
13gen_i9_13900HX_gemini,ept_read,46.6,37.9
13gen_i9_13900HX_gemini,repair_exec,58.2,50.3
13gen_i9_13900HX_gemini,emul_exec,16.5,10.6
13gen_i9_13900HX_gemini,emul_read,17.5,10.8
